timestamp,total_pss,native,dalvik
09:40:16,46008,14957,11051
09:40:22,44379,13329,11050
09:40:27,44379,13329,11050
09:40:32,44380,13329,11051
09:40:37,44380,13329,11051
09:40:43,44380,13329,11051
09:40:48,44332,13281,11051
09:40:53,44280,13233,11047
09:40:58,44264,13221,11043
09:41:04,44272,13221,11051
09:41:09,44232,13181,11051
09:41:14,40119,9076,11043
09:41:19,40119,9076,11043
09:41:25,40119,9076,11043
09:41:30,40115,9076,11039
09:41:35,39891,8844,11047
09:41:40,39891,8844,11047
09:41:46,39807,8764,11043
09:41:51,39807,8768,11039
09:41:56,39815,8768,11047
09:42:01,39802,8768,11034
09:42:07,39806,8768,11038
09:42:12,39542,8500,11042
09:42:17,39542,8500,11042
09:42:22,39542,8500,11042
09:42:28,39490,8456,11034
09:42:33,39490,8456,11034
09:42:38,39394,8336,11058
09:42:43,39395,8336,11059
09:42:49,39395,8336,11059
09:42:54,39391,8336,11055
09:42:59,39391,8340,11051
09:43:05,39399,8340,11059
09:43:10,39399,8341,11058
09:43:15,39391,8341,11050
09:43:20,39399,8341,11058
09:43:26,39399,8341,11058
09:43:31,39399,8341,11058
09:43:36,39391,8341,11050
09:43:42,39399,8341,11058
09:43:47,39391,8341,11050
09:43:52,39399,8341,11058
09:43:57,39399,8341,11058
09:44:03,20000,0,0
09:44:08,20000,0,0
09:44:13,20000,0,0
09:44:18,20000,0,0
09:44:23,20000,0,0
09:44:29,55825,23480,12345
09:44:34,54088,23323,10765
09:44:39,54088,23327,10761
09:44:44,54088,23327,10761
09:44:50,54088,23327,10761
09:44:55,54088,23327,10761
09:45:00,54092,23327,10765
09:45:06,54092,23327,10765
09:45:11,54132,23367,10765
09:45:16,54124,23367,10757
09:45:22,54120,23367,10753
09:45:27,54120,23367,10753
09:45:32,54116,23367,10749
09:45:37,54116,23367,10749
09:45:43,54124,23367,10757
09:45:48,54120,23367,10753
09:45:53,54124,23371,10753
09:45:59,54128,23371,10757
09:46:04,54124,23371,10753
09:46:09,54132,23371,10761
09:46:14,54132,23371,10761
09:46:20,54132,23371,10761
09:46:25,54129,23371,10758
09:46:30,54133,23379,10754
09:46:35,54137,23379,10758
09:46:41,54077,23323,10754
09:46:46,54077,23323,10754
09:46:51,54081,23323,10758
09:46:56,54077,23323,10754
09:47:02,54077,23323,10754
09:47:07,54085,23323,10762
09:47:12,54085,23323,10762
09:47:18,54085,23323,10762
09:47:23,54085,23323,10762
09:47:28,54085,23323,10762
09:47:34,54081,23323,10758
09:47:39,54085,23323,10762
09:47:44,54081,23323,10758
09:47:49,54085,23323,10762
09:47:55,54081,23323,10758
09:48:00,54081,23323,10758
09:48:05,54081,23323,10758
09:48:11,54085,23323,10762
09:48:16,54081,23323,10758
09:48:21,54077,23323,10754
09:48:27,54085,23323,10762
09:48:32,54077,23323,10754
09:48:37,54081,23323,10758
09:48:42,54081,23323,10758
09:48:48,54077,23323,10754
09:48:53,54081,23323,10758
09:48:58,54085,23323,10762
09:49:03,54089,23327,10762
09:49:09,54085,23327,10758
09:49:14,54089,23327,10762
09:49:19,54089,23327,10762
09:49:25,54093,23327,10766
09:49:30,54081,23327,10754
09:49:35,54085,23327,10758
09:49:40,54089,23327,10762
09:49:46,54081,23327,10754
09:49:51,54085,23327,10758
09:49:56,54089,23327,10762
09:50:02,54085,23327,10758
09:50:07,54089,23327,10762
09:50:12,54089,23327,10762
09:50:18,54081,23327,10754
09:50:23,54097,23335,10762
09:50:28,54097,23335,10762
09:50:33,54089,23335,10754
09:50:39,54093,23335,10758
09:50:44,54089,23335,10754
09:50:49,54093,23335,10758
09:50:54,54093,23335,10758
09:51:00,54097,23335,10762
09:51:05,54097,23335,10762
09:51:10,54093,23335,10758
09:51:16,54093,23335,10758
09:51:21,54093,23335,10758
09:51:26,54097,23335,10762
09:51:32,54093,23335,10758
09:51:37,54089,23335,10754
09:51:42,54093,23335,10758
09:51:47,54093,23335,10758
09:51:53,54093,23335,10758
09:51:58,54097,23335,10762
09:52:03,54097,23335,10762
09:52:08,54093,23335,10758
09:52:14,54093,23335,10758
09:52:19,54093,23335,10758
09:52:24,54093,23335,10758
09:52:30,54097,23335,10762
09:52:35,54093,23335,10758
09:52:40,54093,23335,10758
09:52:46,54093,23335,10758
09:52:51,54097,23335,10762
09:52:56,54089,23335,10754
09:53:01,54089,23335,10754
09:53:07,54093,23335,10758
09:53:12,54093,23335,10758
09:53:17,54093,23335,10758
09:53:23,54093,23335,10758
09:53:28,54093,23335,10758
09:53:33,54093,23335,10758
09:53:38,54089,23335,10754
09:53:45,54097,23335,10762
09:53:50,54089,23335,10754
09:53:55,54089,23335,10754
09:54:00,52857,22118,10739
09:54:06,52854,22123,10731
09:54:11,52853,22122,10731
09:54:16,52871,22141,10730
09:54:21,52871,22141,10730
09:54:27,52879,22145,10734
09:54:32,52875,22145,10730
09:54:37,52875,22145,10730
09:54:43,52903,22173,10730
09:54:48,52799,22069,10730
09:54:53,52807,22069,10738
09:54:58,52799,22069,10730
09:55:04,52808,22070,10738
09:55:09,52808,22070,10738
09:55:14,52804,22070,10734
09:55:20,52804,22070,10734
09:55:25,52804,22070,10734
09:55:30,52812,22078,10734
09:55:36,52808,22078,10730
09:55:41,52812,22078,10734
09:55:46,52812,22078,10734
09:55:51,52808,22078,10730
09:55:57,52784,22054,10730
09:56:02,52791,22054,10737
09:56:07,52795,22054,10741
09:56:13,52795,22054,10741
09:56:18,52795,22054,10741
09:56:23,52791,22054,10737
09:56:28,52795,22054,10741
09:56:34,52791,22054,10737
09:56:39,52807,22066,10741
09:56:44,52807,22066,10741
09:56:50,52807,22066,10741
09:56:55,52807,22066,10741
